"month";"year";"number_infraction";"Id_infraction";"location";"lat";"lon";"mpa_area";"vessel";"species";"tot_biomass_kg"
7;2017;"7";"7_2017_7";"alcatrazes";-24,111;-45,722;"inside";"recreationalboat";"genidens_barbus";10
7;2017;"7";"7_2017_7";"alcatrazes";-24,111;-45,722;"inside";"recreationalboat";"elops_saurus";7
7;2017;"7";"7_2017_7";"alcatrazes";-24,111;-45,722;"inside";"recreationalboat";"uraspis_secunda";2
7;2017;"7";"7_2017_7";"alcatrazes";-24,111;-45,722;"inside";"recreationalboat";"orthopristis_ruber";5
8;2017;"IR7M134B";"8_2017_IR7M134B";"alcatrazes";-24,639;-45,4318;"outside";"recreationalboat";"nofish";0
8;2017;"QU634NH2";"8_2017_QU634NH2";"alcatrazes";-24,639;-45,4318;"outside";"recreationalboat";"nofish";0
9;2017;"2";"9_2017_2";"alcatrazes";-24,106;-45,753;"inside";"recreationalboat";"nofish";0
11;2017;"031725_B";"11_2017_031725_B";"alcatrazes";-24,1;-45,697;"inside";"fishingvessel";"lutjanus_analis";16
11;2017;"031725_B";"11_2017_031725_B";"alcatrazes";-24,1;-45,697;"inside";"fishingvessel";"diplodus_argenteus";5
11;2017;"031725_B";"11_2017_031725_B";"alcatrazes";-24,1;-45,697;"inside";"fishingvessel";"anisotremus_virginicus";12
11;2017;"031725_B";"11_2017_031725_B";"alcatrazes";-24,1;-45,697;"inside";"fishingvessel";"seriola_rivoliana";35
11;2017;"031725_B";"11_2017_031725_B";"alcatrazes";-24,1;-45,697;"inside";"fishingvessel";"seriola_dumerili";40
11;2017;"031725_B";"11_2017_031725_B";"alcatrazes";-24,1;-45,697;"inside";"fishingvessel";"holocentrus_adscensionis";2
11;2017;"031725_B";"11_2017_031725_B";"alcatrazes";-24,1;-45,697;"inside";"fishingvessel";"anisotremus_surinamensis";2
11;2017;"031725_B";"11_2017_031725_B";"alcatrazes";-24,1;-45,697;"inside";"fishingvessel";"kyphosus_sp";30,6
11;2017;"031725_B";"11_2017_031725_B";"alcatrazes";-24,1;-45,697;"inside";"fishingvessel";"chelonia_mydas";12
11;2017;"031721_B";"11_2017_031721_B";"alcatrazes";-24,09;-45,692;"inside";"fishingvessel";"pomatomus_saltatrix";60
11;2017;"031721_B";"11_2017_031721_B";"alcatrazes";-24,09;-45,692;"inside";"fishingvessel";"kyphosus_sp";20
11;2017;"031726_B";"11_2017_031726_B";"alcatrazes";-24,107;-45,704;"inside";"fishingvessel";"lutjanus_analis";28
11;2017;"031726_B";"11_2017_031726_B";"alcatrazes";-24,107;-45,704;"inside";"fishingvessel";"kyphosus_sp";90
11;2017;"031726_B";"11_2017_031726_B";"alcatrazes";-24,107;-45,704;"inside";"fishingvessel";"selene_vomer";120
11;2017;"031726_B";"11_2017_031726_B";"alcatrazes";-24,107;-45,704;"inside";"fishingvessel";"chaetodipterus_faber";6,5
11;2017;"031726_B";"11_2017_031726_B";"alcatrazes";-24,107;-45,704;"inside";"fishingvessel";"caranx_crysos";4
11;2017;"031726_B";"11_2017_031726_B";"alcatrazes";-24,107;-45,704;"inside";"fishingvessel";"anisotremus_virginicus";5
11;2017;"031726_B";"11_2017_031726_B";"alcatrazes";-24,107;-45,704;"inside";"fishingvessel";"holocentrus_adscensionis";3,5
11;2017;"031726_B";"11_2017_031726_B";"alcatrazes";-24,107;-45,704;"inside";"fishingvessel";"trachinotus_goodei";60
11;2017;"031726_B";"11_2017_031726_B";"alcatrazes";-24,107;-45,704;"inside";"fishingvessel";"auxis_sp";3,7
11;2017;"031726_B";"11_2017_031726_B";"alcatrazes";-24,107;-45,704;"inside";"fishingvessel";"chelonia_mydas";30
11;2017;"11";"11_2017_11";"alcatrazes";-24,078;-45,772;"inside";"recreationalboat";"nofish";0
12;2017;"8";"12_2017_8";"alcatrazes";-24,146;-45,767;"inside";"recreationalboat";"nofish";0
12;2017;"12_ID";"12_2017_12_ID";"alcatrazes";-24,146;-45,767;"inside";"recreationalboat";"nofish";0
12;2017;"12";"12_2017_12";"alcatrazes";-24,167;-45,76;"inside";"recreationalboat";"rhomboplites_aurorubens";3
12;2017;"11";"12_2017_11";"alcatrazes";-24,146;-45,767;"inside";"recreationalboat";"nofish";0
12;2017;"17";"12_2017_17";"alcatrazes";-24,147;-45,768;"inside";"recreationalboat";"pomatomus_saltatrix";2
1;2018;"033481_B";"1_2018_033481_B";"alcatrazes";-24,5873;-45,41259;"outside";"recreationalboat";"nofish";0
5;2018;"031758_B";"5_2018_031758_B";"alcatrazes";-24,6254;-45,42192;"outside";"fishingvessel";"nofish";0
6;2018;"2A";"6_2018_2A";"alcatrazes";-24,001;-45,747;"outside";"fishingvessel";"nofish";0
6;2018;"unknownauthor";"6_2018_unknownauthor";"alcatrazes";-24,093;-45,683;"inside";"fishingvessel";"nofish";0
8;2018;"2B";"8_2018_2B";"alcatrazes";-24,001;-45,747;"outside";"fishingvessel";"nofish";0
11;2018;"002161_B";"11_2018_002161_B";"alcatrazes";-24,054;-45,756;"inside";"recreationalboat";"pomatomus_saltatrix";17
11;2018;"003590_B";"11_2018_003590_B";"alcatrazes";-24,116;-45,714;"inside";"recreationalboat";"nofish";0
12;2018;"033489_B";"12_2018_033489_B";"alcatrazes";-24,098;-45,742;"inside";"fishingvessel";"nofish";0
1;2019;"033493_B";"1_2019_033493_B";"alcatrazes";-24,179;-45,699;"inside";"recreationalboat";"nofish";0
4;2019;"033497_B";"4_2019_033497_B";"alcatrazes";-24,088;-45,681;"inside";"fishingvessel";"rhizoprionodon_lalandii";29,3
4;2019;"033497_B";"4_2019_033497_B";"alcatrazes";-24,088;-45,681;"inside";"fishingvessel";"carcharhinus_brevipinna";25
4;2019;"033497_B";"4_2019_033497_B";"alcatrazes";-24,088;-45,681;"inside";"fishingvessel";"seriola_rivoliana";40
4;2019;"033497_B";"4_2019_033497_B";"alcatrazes";-24,088;-45,681;"inside";"fishingvessel";"lutjanus_analis";40
4;2019;"033497_B";"4_2019_033497_B";"alcatrazes";-24,088;-45,681;"inside";"fishingvessel";"micropogonias_furnieri";60
4;2019;"033497_B";"4_2019_033497_B";"alcatrazes";-24,088;-45,681;"inside";"fishingvessel";"epinephelus_marginatus";17,5
4;2019;"033497_B";"4_2019_033497_B";"alcatrazes";-24,088;-45,681;"inside";"fishingvessel";"urophycis_sp";4,5
4;2019;"015566_A";"4_2019_015566_A";"alcatrazes";-24,168;-45,792;"inside";"recreationalboat";"pomatomus_saltatrix";10
7;2019;"BIPMKY21";"7_2019_BIPMKY21";"alcatrazes";-24,718;-45,332;"outside";"fishingvessel";"nofish";0
7;2019;"PV6JGH0C";"7_2020_PV6JGH0C";"alcatrazes";-24,1251;-45,3452;"outside";"fishingvessel";"nofish";0
7;2019;"OWHNHIJK";"7_2020_OWHNHIJK";"alcatrazes";-24,817;-45,4344;"outside";"fishingvessel";"nofish";0
7;2019;"TNQ8W0EQ";"7_2019_TNQ8W0EQ";"alcatrazes";-24,418;-45,3241;"outside";"fishingvessel";"nofish";0
7;2019;"F5OGB6KQ";"7_2019_F5OGB6KQ";"alcatrazes";-24,734;-45,435;"outside";"fishingvessel";"nofish";0
12;2019;"2";"12_2019_2";"alcatrazes";-24,072;-45,738;"inside";"fishingvessel";"nofish";0
12;2019;"033505_B ";"12_2019_033505_B ";"alcatrazes";-24,107;-45,789;"inside";"fishingvessel";"nofish";0
12;2019;"unknownauthor";"12_2019_unknownauthor";"alcatrazes";-24,072;-45,738;"inside";"fishingvessel";"nofish";0
2;2020;"1AGKU3FY";"2_2020_1AGKU3FY";"alcatrazes";-24,1357;-45,4325;"outside";"fishingvessel";"nofish";0
2;2020;"9RSELWSR";"2_2020_9RSELWSR";"alcatrazes";-24,1311;-45,483;"inside";"fishingvessel";"nofish";0
2;2020;"9NAH211W";"2_2020_9NAH211W";"alcatrazes";-24,13;-45,3638;"outside";"fishingvessel";"nofish";0
2;2020;"6AOPUD1V";"2_2020_6AOPUD1V";"alcatrazes";-24,638;-45,4351;"outside";"recreationalboat";"nofish";0
3;2020;"8";"3_2020_8";"alcatrazes";-24,146;-45,768;"inside";"recreationalboat";"rhomboplites_aurorubens";6
3;2020;"8";"3_2020_8";"alcatrazes";-24,146;-45,768;"inside";"recreationalboat";"pagrus_pagrus";10
3;2020;"2H8UA3W2";"2_2020_2H8UA3W2";"alcatrazes";-24,517;-45,4;"outside";"recreationalboat";"nofish";0
4;2020;"10";"4_2020_10";"alcatrazes";-24,147;-45,77;"inside";"recreationalboat";"pomatomus_saltatrix";100,25
4;2020;"10";"4_2020_10";"alcatrazes";-24,147;-45,77;"inside";"recreationalboat";"rhomboplites_aurorubens";32
4;2020;"10";"4_2020_10";"alcatrazes";-24,147;-45,77;"inside";"recreationalboat";"pagrus_pagrus";4
4;2020;"4";"4_2020_4";"alcatrazes";-24,097;-45,704;"inside";"fishingvessel";"genidens_barbus";10
5;2020;"TZ35619";"5_2020_TZ35619";"alcatrazes";-24,12;-45,66;"inside";"recreationalboat";"nofish";0
5;2020;"RM8901";"5_2020_RM8901";"alcatrazes";-24,11;-45,71;"inside";"recreationalboat";"epinephelus_marginatus";27
5;2020;"RM8901";"5_2020_RM8901";"alcatrazes";-24,11;-45,71;"inside";"recreationalboat";"caranx_sp";10
6;2020;"6";"6_2020_6";"alcatrazes";-24,147;-45,77;"inside";"recreationalboat";"pomatomus_saltatrix";177
6;2020;"6";"6_2020_6";"alcatrazes";-24,147;-45,77;"inside";"recreationalboat";"rhomboplites_aurorubens";4
6;2020;"6";"6_2020_6";"alcatrazes";-24,147;-45,77;"inside";"recreationalboat";"pagrus_pagrus";15
6;2020;"6";"6_2020_6";"alcatrazes";-24,147;-45,77;"inside";"recreationalboat";"caranx_sp";35
6;2020;"6";"6_2020_6";"alcatrazes";-24,147;-45,77;"inside";"recreationalboat";"epinephelus_marginatus";6
6;2020;"3";"6_2020_3";"alcatrazes";-24,114;-45,732;"inside";"recreationalboat";"pomatomus_saltatrix";53
6;2020;"3";"6_2020_3";"alcatrazes";-24,114;-45,732;"inside";"recreationalboat";"rhomboplites_aurorubens";8,6
6;2020;"3";"6_2020_3";"alcatrazes";-24,114;-45,732;"inside";"recreationalboat";"pagrus_pagrus";5
6;2020;"3";"6_2020_3";"alcatrazes";-24,114;-45,732;"inside";"recreationalboat";"caranx_sp";27
6;2020;"3";"6_2020_3";"alcatrazes";-24,114;-45,732;"inside";"recreationalboat";"auxis_sp";60
7;2020;"L6LHAVA6";"7_2020_L6LHAVA6";"alcatrazes";-24,1131;-45,491;"inside";"fishingvessel";"nofish";0
8;2020;"4_ID";"8_2020_4_ID";"alcatrazes";-24,114;-45,732;"inside";"fishingvessel";"nofish";0
9;2020;"190";"9_2020_190";"alcatrazes";-24,12;-45,71;"inside";"recreationalboat";"seriola_rivoliana";120
9;2020;"190";"9_2020_190";"alcatrazes";-24,12;-45,71;"inside";"recreationalboat";"lutjanus_analis";125
11;2020;"OXFSNTE4";"11_2020_OXFSNTE4";"alcatrazes";-24,612;-45,4224;"outside";"recreationalboat";"epinephelus_marginatus";4
11;2020;"OXFSNTE4";"11_2020_OXFSNTE4";"alcatrazes";-24,612;-45,4224;"outside";"recreationalboat";"seriola_rivoliana";25
11;2020;"OXFSNTE4";"11_2020_OXFSNTE4";"alcatrazes";-24,612;-45,4224;"outside";"recreationalboat";"chaetodipterus_faber";4
11;2020;"WMFUGUYQ";"11_2020_WMFUGUYQ";"alcatrazes";-24,612;-45,4224;"outside";"recreationalboat";"nofish";0
12;2020;"IJYMEROH";"12_2020_IJYMEROH";"alcatrazes";-24,523;-45,4227;"outside";"fishingvessel";"nofish";0
12;2020;"FH6EOMZR";"12_2020_FH6EOMZR";"alcatrazes";-24,844;-45,467;"outside";"recreationalboat";"nofish";0
12;2020;"40HJ5BRM";"12_2020_40HJ5BRM";"alcatrazes";-24,845;-45,467;"outside";"recreationalboat";"nofish";0
12;2020;"2C7DZGUA";"12_2020_2C7DZGUA";"alcatrazes";-24,845;-45,467;"outside";"recreationalboat";"nofish";0
12;2020;"DDH28YAL";"12_2020_DDH28YAL";"alcatrazes";-24,86;-45,461;"outside";"recreationalboat";"pomatomus_saltatrix";10
12;2020;"249CCOO2";"12_2020_249CCOO2";"alcatrazes";-24,232;-45,3338;"outside";"fishingvessel";"nofish";0
1;2021;"2HV68F9B";"1_2021_2HV68F9B";"alcatrazes";-24,714;-45,4821;"outside";"fishingvessel";"nofish";0
2;2021;"F7C0KEJJ";"2_2021_F7C0KEJJ";"alcatrazes";-23,5345;-45,2723;"inside";"recreationalboat";"nofish";0
2;2021;"XY5T9EXE";"2_2021_XY5T9EXE";"alcatrazes";-23,5345;-45,2723;"inside";"recreationalboat";"coryphaena_hippurus";30
2;2021;"XY5T9EXE";"2_2021_XY5T9EXE";"alcatrazes";-23,5345;-45,2723;"inside";"recreationalboat";"carcharhinus_falciformes";30
2;2021;"K4PIUIOY";"2_2021_K4PIUIOY";"alcatrazes";-23,5345;-45,2723;"inside";"recreationalboat";"nofish";0
2;2021;"BO69QSKO";"2_2021_BO69QSKO";"alcatrazes";-23,5345;-45,2723;"inside";"recreationalboat";"nofish";0
2;2021;"OFNOTXFO";"2_2021_OFNOTXFO";"alcatrazes";-23,5345;-45,2723;"inside";"recreationalboat";"nofish";0
2;2021;"D25DU9OA";"2_2021_D25DU9OA";"alcatrazes";-23,5345;-45,2723;"inside";"recreationalboat";"nofish";0
2;2021;"9NJU30KQ";"2_2021_9NJU30KQ";"alcatrazes";-23,5345;-45,2723;"inside";"recreationalboat";"nofish";0
2;2021;"TMX9J6CL";"2_2021_TMX9J6CL";"alcatrazes";-24,144;-45,3641;"outside";"fishingvessel";"nofish";0
2;2021;"WW10UABM";"2_2021_WW10UABM";"alcatrazes";-24,1337;-45,4924;"inside";"fishingvessel";"nofish";0
3;2021;"K435HGJ";"3_2021_K435HGJ";"alcatrazes";-24,12;-45,72;"inside";"recreationalboat";"epinephelus_marginatus";40
3;2021;"K435HGJ";"3_2021_K435HGJ";"alcatrazes";-24,12;-45,72;"inside";"recreationalboat";"sparisoma_amplum";10
3;2021;"T5478";"3_2021_T5478";"alcatrazes";-24,05;-45,71;"inside";"recreationalboat";"epinephelus_marginatus";12,5
3;2021;"IR6790";"3_2021_IR6790";"alcatrazes";-24,01;-45,75;"outside";"recreationalboat";"caranx_sp";19
3;2021;"IR6790";"3_2021_IR6790";"alcatrazes";-24,01;-45,75;"outside";"recreationalboat";"chaetodipterus_faber";29
4;2021;"8UDG9QTW";"4_2021_8UDG9QTW";"alcatrazes";-24,1435;-45,356;"outside";"fishingvessel";"nofish";0
4;2021;"IR90M134";"4_2021_IR90M134";"alcatrazes";-24,04;-45,74;"inside";"recreationalboat";"nofish";0
5;2021;"09936XAB1";"5_2021_09936XAB1";"alcatrazes";-24,84029;-45,4644134;"outside";"fishingvessel";"rhizoprionodon_lalandii";40
5;2021;"09936XAB1";"5_2021_09936XAB1";"alcatrazes";-24,84029;-45,4644134;"outside";"fishingvessel";"carcharhinus_falciformes";50
5;2021;"09936XAB1";"5_2021_09936XAB1";"alcatrazes";-24,84029;-45,4644134;"outside";"fishingvessel";"sphyrna_lewini";30
5;2021;"4DU4KJ9Q";"5_2021_4DU4KJ9Q";"alcatrazes";-24,11;-45,57;"inside";"fishingvessel";"nofish";0
5;2021;"IWGB77HJ";"5_2021_IWGB77HJ";"alcatrazes";-24,12;-45,49;"inside";"recreationalboat";"nofish";0
5;2021;"6DU907";"5_2021_6DU907";"alcatrazes";-24,13;-45,7;"inside";"recreationalboat";"sparisoma_amplum";4
5;2021;"6DU907";"5_2021_6DU907";"alcatrazes";-24,13;-45,7;"inside";"recreationalboat";"lutjanus_analis";30
5;2021;"6DU907";"5_2021_6DU907";"alcatrazes";-24,13;-45,7;"inside";"recreationalboat";"anisotremus_virginicus";19
5;2021;"6DU907";"5_2021_6DU907";"alcatrazes";-24,13;-45,7;"inside";"recreationalboat";"seriola_rivoliana";140
7;2021;"E744D4LFG";"7_2021_E744D4LFG";"alcatrazes";-24,13;-45,4154;"outside";"fishingvessel";"nofish";0
7;2021;"ZAOP6ODM";"7_2021_ZAOP6ODM";"alcatrazes";-24,421;-45,391;"outside";"fishingvessel";"nofish";0
8;2021;"PVTRE4561";"8_2021_PVTRE4561";"alcatrazes";-24,421;-45,391;"outside";"fishingvessel";"chelonia_mydas";13
8;2021;"PVTRE4561";"8_2021_PVTRE4561";"alcatrazes";-24,421;-45,391;"outside";"fishingvessel";"gymnothorax_moringa";5
8;2021;"PVTRE4561";"8_2021_PVTRE4561";"alcatrazes";-24,421;-45,391;"outside";"fishingvessel";"sphyrna_zygaena";290
8;2021;"PVTRE4561";"8_2021_PVTRE4561";"alcatrazes";-24,421;-45,391;"outside";"fishingvessel";"rhizoprionodon_porosus";37,5
8;2021;"PVTRE4561";"8_2021_PVTRE4561";"alcatrazes";-24,421;-45,391;"outside";"fishingvessel";"myliobatis_freminvillei";25
8;2021;"PVTRE4561";"8_2021_PVTRE4561";"alcatrazes";-24,421;-45,391;"outside";"fishingvessel";"gymnura_altavela";10
8;2021;"T9NCFRBF";"8_2021_T9NCFRBF";"alcatrazes";-24,6383;-45,493;"outside";"fishingvessel";"nofish";0
8;2021;"CH72EGR4";"8_2021_CH72EGR4";"alcatrazes";-24,6383;-45,493;"outside";"fishingvessel";"nofish";0
8;2021;"7V8CIM40";"8_2021_7V8CIM40";"alcatrazes";-24,6383;-45,493;"outside";"fishingvessel";"nofish";0
8;2021;"8EVJ4ZP5";"8_2021_8EVJ4ZP5";"alcatrazes";-24,6383;-45,493;"outside";"fishingvessel";"nofish";0
8;2021;"RJAZY8GN";"8_2021_RJAZY8GN";"alcatrazes";-24,6383;-45,493;"outside";"fishingvessel";"nofish";0
8;2021;"IQQLY7ZY";"8_2021_IQQLY7ZY";"alcatrazes";-24,6383;-45,493;"outside";"fishingvessel";"nofish";0
8;2021;"IQQPV4371";"8_2021_IQQPV4371";"alcatrazes";-24,01;-45,75;"outside";"recreationalboat";"lutjanus_analis";6
8;2021;"IQQPV4371";"8_2021_IQQPV4371";"alcatrazes";-24,01;-45,75;"outside";"recreationalboat";"fistularia_tabacari";10
8;2021;"IQQPV4371";"8_2021_IQQPV4371";"alcatrazes";-24,01;-45,75;"outside";"recreationalboat";"kyphosus_sp";21
8;2021;"IQQPV4371";"8_2021_IQQPV4371";"alcatrazes";-24,01;-45,75;"outside";"recreationalboat";"pomatomus_saltatrix";2
8;2021;"IQQPV4371";"8_2021_IQQPV4371";"alcatrazes";-24,01;-45,75;"outside";"recreationalboat";"chaetodipterus_faber";3
8;2021;"IQQPV4371";"8_2021_IQQPV4371";"alcatrazes";-24,01;-45,75;"outside";"recreationalboat";"priacanthus_arenatus";2
8;2021;"IQQPV4371";"8_2021_IQQPV4371";"alcatrazes";-24,01;-45,75;"outside";"recreationalboat";"holocentrus_adscensionis";2
8;2021;"IQQPV4371";"8_2021_IQQPV4371";"alcatrazes";-24,01;-45,75;"outside";"recreationalboat";"katsuwonus_pelamis";130
8;2021;"IQQPV4371";"8_2021_IQQPV4371";"alcatrazes";-24,01;-45,75;"outside";"recreationalboat";"epinephelus_marginatus";4
